,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.666666667,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.333333333,0.948717949,0.481481481,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.444444444,0.046728972,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0.074074074,0.747663551,0.095744681,0.013937282,0.002785515,0,0,0,0,0,0,0,0
5,0,0,0,0.168224299,0.425531915,0.149825784,0.036211699,0,0,0,0,0,0,0,0
6,0,0,0,0.037383178,0.414893617,0.651567944,0.270194986,0.046332046,0.00921659,0,0,0,0,0,0
7,0,0,0,0,0.042553191,0.170731707,0.593314763,0.281853282,0.101382488,0.046511628,0.041322314,0,0,0.009433962,0.005208333
8,0,0,0,0,0.010638298,0.013937282,0.075208914,0.540540541,0.331797235,0.215116279,0.090909091,0.065934066,0.01369863,0.009433962,0.005208333
9,0,0,0,0,0.010638298,0,0.022284123,0.11969112,0.447004608,0.36627907,0.231404959,0.076923077,0.04109589,0.009433962,0.010416667
10,0,0,0,0,0,0,0,0.011583012,0.096774194,0.331395349,0.247933884,0.164835165,0.068493151,0.094339623,0.010416667
11,0,0,0,0,0,0,0,0,0.013824885,0.040697674,0.330578512,0.318681319,0.205479452,0.141509434,0.0625
12,0,0,0,0,0,0,0,0,0,0,0.049586777,0.351648352,0.369863014,0.179245283,0.119791667
13,0,0,0,0,0,0,0,0,0,0,0.008264463,0.021978022,0.246575342,0.339622642,0.192708333
14,0,0,0,0,0,0,0,0,0,0,0,0,0.054794521,0.179245283,0.244791667
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037735849,0.348958333
